"Participant.ID","Country","AgeMatchGroup","Video.id","Motion.status","Start.Frame","End.Frame","Total.Points","Start.ms","End.ms"
"034SA","India",34,22,"Stationary",12198,12348,1017540000,365574060,370069560
"036MR","U.S.",36,5,"Moving",33536,33686,1017540000,1005073920,1009569420
"036MR","U.S.",36,5,"Stationary",18132,18282,1017540000,543416040,547911540
"036MR","U.S.",36,5,"Stationary",44326,44475,1004018024,1328450220,1332915750
"036MR","U.S.",36,7,"Stationary",1768,1918,1017540000,52986960,57482460
"036MR","U.S.",36,8,"Stationary",7942,8092,1017540000,238021740,242517240
"036MR","U.S.",36,12,"Moving",12857,13007,1017540000,385324290,389819790
"036MR","U.S.",36,13,"Moving",44266,44416,1017540000,1326652020,1331147520
"036MR","U.S.",36,13,"Stationary",2787,2937,1017540000,83526390,88021890
"036MR","U.S.",36,17,"Moving",13187,13337,1017540000,395214390,399709890
"036MR","U.S.",36,17,"Stationary",10430,10579,1004018024,312587100,317052630
"036NI","India",35,5,"Moving",37223,37373,1017540000,1115573310,1120068810
"036NI","India",35,5,"Moving",101179,101329,1017540000,3032334630,3036830130
"036NI","India",35,5,"Stationary",13876,14026,1017540000,415863720,420359220
"036NI","India",35,5,"Stationary",16484,16633,1004018024,494025480,498491010
"036NI","India",35,5,"Stationary",42288,42438,1017540000,1267371360,1271866860
"036NI","India",35,5,"Stationary",44146,44296,1017540000,1323055620,1327551120
"036NI","India",35,5,"Stationary",125814,125964,1017540000,3770645580,3775141080
"036NI","India",35,6,"Stationary",8092,8242,1017540000,242517240,247012740
"036NI","India",35,6,"Stationary",42348,42497,1004018024,1269169560,1273635090
"036NI","India",35,8,"Stationary",25385,25534,1004018024,760788450,765253980
"036VI","India",36,5,"Moving",70250,70400,1017540000,2105392500,2109888000
"036VI","India",36,5,"Moving",75165,75315,1017540000,2252695050,2257190550
"036VI","India",36,7,"Moving",1948,2098,1017540000,58381560,62877060
"036VI","India",36,7,"Stationary",37013,37163,1017540000,1109279610,1113775110
"036VI","India",36,12,"Moving",77832,77982,1017540000,2332625040,2337120540
"036VI","India",36,12,"Stationary",29910,30060,1017540000,896402700,900898200
"036VI","India",36,12,"Stationary",58142,58292,1017540000,1742515740,1747011240
"036VI","India",36,12,"Stationary",67283,67433,1017540000,2016471510,2020967010
"036VI","India",36,13,"Moving",72408,72557,1004018024,2170067760,2174533290
"036VI","India",36,15,"Moving",57303,57452,1004018024,1717370910,1721836440
"046TE","U.S.",46,6,"Stationary",34076,34226,1017540000,1021257720,1025753220
"046TE","U.S.",46,7,"Moving",119910,120060,1017540000,3593702700,3598198200
"046TE","U.S.",46,7,"Stationary",84485,84635,1017540000,2532015450,2536510950
"046TE","U.S.",46,8,"Moving",10040,10190,1017540000,300898800,305394300
"046TE","U.S.",46,15,"Stationary",53077,53227,1017540000,1590717690,1595213190
"046TE","U.S.",46,17,"Stationary",2128,2278,1017540000,63776160,68271660
"046TE","U.S.",46,18,"Moving",46064,46214,1017540000,1380538080,1385033580
"046TE","U.S.",46,18,"Stationary",9560,9710,1017540000,286513200,291008700
"046TE","U.S.",46,18,"Stationary",31798,31948,1017540000,952986060,957481560
"046TE","U.S.",46,18,"Stationary",46903,47053,1017540000,1405682910,1410178410
"048RE","India",46,4,"Stationary",30989,31139,1017540000,928740330,933235830
"048RE","India",46,9,"Moving",42408,42557,1004018024,1270967760,1275433290
"048RE","India",46,9,"Moving",42857,43007,1017540000,1284424290,1288919790
