Participant.ID,Country,Weeks.At.Test,AgeMatchGroup,Clip.Index,Segment.Index,Motion.Static,Segment.Start.ms,Segment.End.ms,Segment.ms
022JL,U.S.,22,23,14,10,Stationary,262752,265165,2413
018MT,U.S.,18,17.5,7,11,Moving,974802,977220,2418
057AP,U.S.,57,57.5,4,84,Moving,2248726,2251157,2431
057AP,U.S.,57,57.5,4,82,Moving,2139970,2142401,2431
057AP,U.S.,57,57.5,4,172,Moving,3855632,3858063,2431
054AJ,India,54,53.5,28,12,Stationary,76732,79163,2431
048RE,India,48,46.5,17,16,Stationary,210517,212951,2434
036MR,U.S.,36,36,3,7,Moving,193399,195840,2441
036VI,India,36,36,15,30,Moving,736485,738926,2441
053KD,U.S.,53,53.5,3,29,Moving,358197,360638,2441
053KD,U.S.,53,53.5,2,0,Stationary,0,2441,2441
036VI,India,36,36,12,98,Moving,2354464,2356933,2469
036MR,U.S.,36,36,9,53,Moving,1011729,1014207,2478
053KD,U.S.,53,53.5,7,78,Moving,1241831,1244309,2478
053KD,U.S.,53,53.5,7,88,Moving,1404890,1407368,2478
057AP,U.S.,57,57.5,6,13,Moving,157805,160283,2478
053KD,U.S.,53,53.5,1,29,Moving,655384,657865,2481
036MR,U.S.,36,36,6,6,Moving,173672,176154,2482
036VI,India,36,36,15,67,Stationary,1632539,1635021,2482
057AP,U.S.,57,57.5,4,100,Moving,2548242,2550749,2507
058LA,India,58,57.5,8,24,Moving,1222592,1225101,2509
036VI,India,36,36,5,85,Moving,2845869,2848383,2514
022JL,U.S.,22,23,14,53,Moving,1202547,1205062,2515
022JL,U.S.,22,23,11,39,Moving,2511036,2513551,2515
022JL,U.S.,22,23,4,5,Moving,181670,184185,2515
053KD,U.S.,53,53.5,3,35,Moving,535908,538423,2515
046TE,U.S.,46,46.5,8,22,Stationary,841228,843743,2515
025TA,India,25,25,8,4,Stationary,512793,515316,2523
046TE,U.S.,46,46.5,7,29,Moving,1415336,1417865,2529
054AJ,India,54,53.5,29,1,Moving,8478,11014,2536
025TA,India,25,25,17,0,Unclassified,0,2538,2538
036VI,India,36,36,15,38,Moving,859806,862351,2545
036VI,India,36,36,11,41,Stationary,988722,991267,2545
034NW,U.S.,34,35,15,40,Stationary,1030330,1032878,2548
036VI,India,36,36,13,53,Moving,776016,778565,2549
022JL,U.S.,22,23,15,11,Moving,1754133,1756685,2552
053KD,U.S.,53,53.5,2,5,Moving,115218,117770,2552
057AP,U.S.,57,57.5,6,23,Moving,368890,371442,2552
053KD,U.S.,53,53.5,5,13,Moving,886557,889110,2553
048RE,India,48,46.5,9,17,Moving,672468,675035,2567
036VI,India,36,36,12,199,Moving,3739903,3742481,2578
022JL,U.S.,22,23,15,15,Moving,2075848,2078437,2589
036MR,U.S.,36,36,11,121,Moving,1467235,1469824,2589
036MR,U.S.,36,36,11,45,Moving,518259,520848,2589
053KD,U.S.,53,53.5,7,2,Moving,18648,21237,2589
057AP,U.S.,57,57.5,8,59,Moving,3341285,3343874,2589
036MR,U.S.,36,36,11,21,Moving,269693,272283,2590
036VI,India,36,36,9,23,Stationary,556183,558773,2590
036MR,U.S.,36,36,13,59,Moving,1281051,1283644,2593
036MR,U.S.,36,36,13,95,Moving,1965107,1967701,2594
036VI,India,36,36,13,101,Moving,1652604,1655206,2602
058LA,India,58,57.5,8,10,Moving,179150,181754,2604
025TT,U.S.,25,25,7,2,Moving,18792,21397,2605
036VI,India,36,36,12,143,Moving,2947290,2949897,2607
036VI,India,36,36,11,18,Moving,722038,724652,2614
036NI,India,36,35,5,64,Unclassified,4243000,4245615,2615
